18eeff0f,03,94,c0,01,00,0c,00,00,
18ff8025,fe,25,3f,ff,ff,ff,ff,ff,
18eafffe,00,ee,00,
18eeff00,03,94,c0,01,00,00,00,00,
14f00031,ff,ff,ff,ff,ff,ff,ff,ff,
18eeff3d,00,00,c0,01,00,2c,00,00,
18eeff01,31,37,d4,01,09,00,00,00,
14f00131,ff,ff,ff,ff,ff,ff,ff,ff,
14fda421,ff,ff,ff,ff,ff,ff,ff,ff,
14fef031,ff,ff,ff,ff,ff,ff,ff,ff,
18eeff0b,c4,98,c4,06,00,09,02,00,
14fef121,ff,ff,ff,ff,ff,ff,ff,ff,
14ff0221,ff,ff,ff,ff,ff,ff,ff,ff,
14fef131,ff,ff,ff,ff,ff,ff,ff,ff,
14ff3131,0f,30,3f,ff,ff,ff,ff,ff,
18f0010b,ff,ff,1c,ff,ff,5c,ff,ff,
08fe6e0b,ff,ff,ff,ff,ff,ff,ff,ff,
18e00021,ff,ff,ff,ff,ff,ff,ff,ff,
0c00100b,fc,ff,fa,fa,ff,ff,ff,50,
0c00000b,fc,ff,fa,fa,ff,ff,ff,30,
18eeff28,ff,ff,9f,00,00,21,02,10,
18fdc40b,1f,08,ff,ff,ff,ff,ff,ff,
0c00290b,fc,ff,fa,fa,ff,ff,ff,10,
18fe4f3e,c1,00,ff,ff,ff,ff,ff,ff,
18fef621,ff,ff,ff,ff,ff,ff,ff,ff,
18f0093e,ff,ff,ff,ff,ff,ff,ff,ff,
18fef721,ff,ff,ff,ff,ff,ff,ff,ff,
18feff47,ff,ff,ff,ff,ff,ff,ff,ff,
18ff2421,ff,ff,ff,ff,ff,ff,ff,ff,
18f0093e,ff,ff,ff,ff,ff,ff,ff,ff,
1cfec347,ff,ff,ff,ff,ff,ff,ff,ff,
18f0093e,ff,ff,ff,ff,ff,ff,ff,ff,
14ff3131,0f,30,3f,ff,ff,ff,ff,ff,
08fe6e0b,ff,ff,ff,ff,ff,ff,ff,ff,
18f0093e,ff,ff,ff,ff,ff,ff,ff,ff,
18f0093e,ff,ff,ff,ff,ff,ff,ff,ff,
14ff3131,40,30,03,ff,ff,ff,ff,ff,
08fe6e0b,ff,ff,ff,ff,ff,ff,ff,ff,
18f0093e,ff,ff,ff,ff,ff,ff,ff,ff,
10ff2121,32,00,0f,c0,c0,f8,ff,00,
18f0093e,ff,ff,ff,ff,ff,ff,ff,ff,
14f00031,ff,ff,ff,ff,ff,ff,ff,ff,
14ff2321,f4,5d,e1,ff,ff,ff,ff,ff,
14f00131,ff,ff,ff,ff,00,ff,ff,ff,
08fe6e0b,ff,ff,ff,ff,ff,ff,ff,ff,
14fda421,ff,ff,ff,ff,ff,ff,ff,ff,
18f0093e,ff,ff,ff,ff,ff,ff,ff,ff,
14ff0121,ff,ff,ff,ff,ff,ff,fc,ff,
14fef031,ff,ff,ff,ff,ff,ff,ff,ff,
14fef121,f7,ff,ff,cf,ff,ff,ff,ff,
18f0093e,ff,ff,ff,ff,ff,ff,ff,ff,
14ff0221,ff,ff,ff,ff,ff,ff,ff,ff,
14fef131,ff,ff,ff,ff,ff,ff,ff,3f,
18f0010b,ff,ff,1c,ff,ff,5c,ff,ff,
18fdc40b,1f,08,ff,ff,ff,ff,ff,ff,
18f0093e,ff,ff,ff,ff,ff,ff,ff,ff,
18fe4f3e,c1,00,ff,ff,ff,ff,ff,ff,
18f0093e,ff,ff,ff,ff,ff,ff,ff,ff,
10ff2121,32,00,0f,c0,c0,f8,ff,00,
08fe6e0b,00,00,00,00,00,00,00,00,
18f0093e,ff,ff,ff,ff,ff,ff,ff,ff,
18f0093e,ff,ff,ff,ff,ff,ff,ff,ff,
14ff3131,40,30,03,ff,ff,ff,ff,ff,
08fe6e0b,00,00,00,00,00,00,00,00,
18f0093e,ff,ff,ff,ff,ff,ff,fe,ff,
18f0093e,ff,ff,ff,ff,ff,ff,fe,ff,
08fe6e0b,00,00,00,00,00,00,00,00,
18f0093e,ff,ff,ff,ff,ff,ff,fe,ff,
10ff2121,32,00,0f,c0,c0,f8,ff,00,
14f00031,ff,ff,ff,ff,ff,ff,ff,ff,
14ff2321,f4,5d,e1,ff,ff,ff,ff,ff,
18f0093e,ff,ff,ff,ff,ff,ff,fe,ff,
14f00131,ff,ff,ff,ff,00,ff,ff,ff,
08fe6e0b,00,00,00,00,00,00,00,00,
14fda421,ff,ff,ff,ff,ff,ff,ff,ff,
18f0093e,ff,ff,ff,ff,ff,ff,fe,ff,
14ff0121,ff,ff,ff,ff,ff,ff,fc,ff,
14fef031,ff,ff,ff,ff,ff,ff,ff,ff,
14fef121,f7,ff,ff,cf,ff,ff,ff,ff,
